Timestamp,Room,Motion_Sensor,Temperature,Humidity,Light_Level,Sound_Level,Appliance_Usage,People_Present,Activity
2025-04-06 16:22:00,Living Room,0,23.2,50,32,23,0,4,Idle
2025-04-03 09:29:00,Bedroom,1,26.7,40,25,87,0,3,Idle
2025-04-04 09:55:00,Bedroom,1,19.1,50,2,73,1,2,Sleeping
2025-04-04 21:52:00,Bathroom,0,22.9,30,68,34,1,3,Idle
2025-04-04 03:53:00,Kitchen,1,23.7,35,60,65,1,5,Idle
2025-04-04 18:14:00,Living Room,0,21.0,55,32,44,1,5,Idle
2025-04-01 18:48:00,Kitchen,0,26.8,50,20,23,1,2,Idle
2025-04-03 08:13:00,Living Room,0,27.5,40,11,54,0,3,Relaxing
2025-04-03 06:48:00,Kitchen,1,20.8,50,31,56,1,5,Idle
2025-04-05 13:46:00,Bathroom,0,25.0,40,64,36,1,4,Using Toilet
2025-04-01 21:59:00,Bathroom,1,27.1,30,39,60,1,1,Idle
2025-04-06 10:26:00,Bathroom,1,26.4,60,13,33,0,5,Showering
2025-04-05 16:58:00,Living Room,0,21.6,30,65,32,0,1,Relaxing
2025-04-05 18:57:00,Kitchen,1,24.1,50,63,94,0,5,Cleaning
2025-04-04 09:37:00,Living Room,0,23.2,45,67,85,0,2,Relaxing
2025-04-02 20:18:00,Kitchen,0,25.8,50,68,30,0,4,Idle
2025-04-04 05:08:00,Bathroom,1,27.9,50,99,87,1,3,Using Toilet
2025-04-01 09:21:00,Bathroom,0,25.1,45,81,57,0,3,Using Toilet
2025-04-06 05:18:00,Living Room,0,23.2,50,81,86,0,1,Relaxing
2025-04-05 14:10:00,Bedroom,0,27.3,50,31,21,0,5,Sleeping
2025-04-01 20:34:00,Kitchen,0,26.0,30,20,50,0,4,Cleaning
2025-04-01 11:23:00,Bathroom,1,18.9,45,47,20,0,2,Idle
2025-04-02 10:28:00,Bathroom,1,18.2,35,33,99,0,1,Idle
2025-04-03 16:53:00,Kitchen,1,20.2,50,23,68,0,3,Cooking
2025-04-03 01:46:00,Living Room,0,23.2,50,89,99,1,2,Idle
2025-04-05 11:46:00,Kitchen,1,19.1,45,79,55,1,2,Idle
2025-04-07 19:10:00,Living Room,1,27.0,40,37,30,1,3,Watching TV
2025-04-05 22:25:00,Living Room,0,20.5,55,4,31,0,5,Idle
2025-04-05 07:44:00,Kitchen,0,23.9,50,52,82,0,4,Cooking
2025-04-05 14:41:00,Kitchen,1,19.3,55,69,55,0,2,Cooking
2025-04-04 00:22:00,Bedroom,0,28.0,45,15,81,1,5,Idle
2025-04-01 22:20:00,Bedroom,0,24.6,55,83,33,0,1,Reading
2025-04-05 07:08:00,Bathroom,1,18.2,30,46,76,0,2,Idle
2025-04-06 03:00:00,Bedroom,1,25.6,55,23,33,0,5,Idle
2025-04-02 20:33:00,Bedroom,1,24.5,45,92,32,0,2,Reading
2025-04-04 08:44:00,Kitchen,0,19.1,50,26,48,1,5,Idle
2025-04-05 01:38:00,Bedroom,1,19.9,35,24,29,0,1,Idle
2025-04-05 08:48:00,Kitchen,1,20.3,35,2,39,0,5,Cooking
2025-04-07 23:36:00,Bedroom,0,24.1,30,49,36,1,5,Sleeping
2025-04-07 22:46:00,Bedroom,1,26.2,30,20,97,0,4,Sleeping
2025-04-06 05:15:00,Living Room,1,26.0,35,10,78,1,2,Relaxing
2025-04-05 23:18:00,Bedroom,0,22.6,30,51,89,0,3,Sleeping
2025-04-07 01:15:00,Kitchen,1,24.3,45,15,43,1,2,Idle
2025-04-01 17:58:00,Bedroom,0,20.3,55,19,71,0,3,Sleeping
2025-04-03 07:00:00,Bedroom,0,18.5,60,1,52,0,3,Sleeping
2025-04-01 08:08:00,Living Room,0,25.0,35,61,87,0,3,Idle
2025-04-01 17:33:00,Living Room,1,23.7,45,76,77,0,2,Watching TV
2025-04-06 07:53:00,Bathroom,1,18.6,60,49,21,0,1,Using Toilet
2025-04-01 06:16:00,Living Room,0,26.0,45,21,68,0,1,Relaxing
2025-04-04 11:45:00,Kitchen,0,23.9,40,88,28,1,2,Idle
2025-04-07 09:52:00,Bathroom,0,18.1,55,30,89,0,2,Using Toilet
2025-04-08 03:37:00,Kitchen,0,25.4,35,70,54,0,1,Cooking
2025-04-05 13:24:00,Kitchen,1,24.3,45,34,37,0,3,Idle
2025-04-02 10:48:00,Bedroom,1,21.0,60,87,94,1,2,Idle
2025-04-05 22:33:00,Bathroom,1,27.4,45,47,23,0,5,Showering
2025-04-07 18:11:00,Kitchen,1,24.7,40,44,29,1,1,Cleaning
2025-04-07 08:56:00,Kitchen,0,18.1,60,47,62,0,4,Cooking
2025-04-05 01:42:00,Kitchen,0,18.6,50,98,25,0,3,Cooking
2025-04-05 22:06:00,Kitchen,0,26.6,55,55,70,0,2,Cleaning
2025-04-04 18:14:00,Living Room,0,27.3,45,37,89,1,5,Idle
2025-04-07 13:07:00,Bedroom,0,22.3,50,69,83,0,3,Idle
2025-04-05 16:07:00,Bathroom,0,19.1,35,50,32,0,2,Using Toilet
2025-04-05 16:58:00,Bedroom,0,19.2,45,30,79,1,5,Idle
2025-04-04 04:22:00,Kitchen,0,24.6,40,54,77,0,1,Idle
2025-04-02 22:32:00,Bathroom,0,26.7,50,51,73,1,3,Idle
2025-04-02 11:36:00,Bathroom,1,21.0,55,94,27,0,5,Using Toilet
2025-04-05 06:11:00,Living Room,0,23.1,50,46,94,1,2,Watching TV
2025-04-07 21:14:00,Bedroom,1,27.2,45,37,88,1,4,Sleeping
2025-04-04 11:35:00,Kitchen,0,25.2,55,26,47,1,5,Cooking
2025-04-06 00:10:00,Kitchen,1,19.4,30,37,23,0,2,Idle
2025-04-04 11:57:00,Bathroom,1,25.2,35,31,29,1,3,Using Toilet
2025-04-08 04:36:00,Kitchen,0,25.8,50,2,84,0,4,Cooking
2025-04-05 07:47:00,Kitchen,1,27.3,45,78,97,1,3,Idle
2025-04-06 19:04:00,Living Room,0,19.0,45,86,87,1,1,Watching TV
2025-04-04 21:33:00,Bedroom,1,25.6,55,63,94,0,1,Reading
2025-04-03 02:18:00,Living Room,0,20.7,30,59,73,1,4,Watching TV
2025-04-05 21:50:00,Living Room,0,20.9,45,55,31,0,2,Watching TV
2025-04-02 12:51:00,Kitchen,0,22.0,45,10,44,0,5,Cleaning
2025-04-03 19:20:00,Kitchen,1,21.4,30,83,68,0,2,Idle
2025-04-02 06:28:00,Kitchen,0,24.9,40,59,93,1,5,Cooking
2025-04-06 01:48:00,Kitchen,0,24.4,45,31,55,1,2,Cleaning
2025-04-05 09:30:00,Kitchen,0,23.8,45,99,96,0,2,Cleaning
2025-04-02 16:04:00,Kitchen,1,23.1,55,72,86,1,3,Cleaning
2025-04-03 00:59:00,Bedroom,1,23.0,50,90,89,0,5,Sleeping
2025-04-01 14:55:00,Kitchen,0,23.7,35,31,90,0,2,Cooking
2025-04-03 08:51:00,Bedroom,1,24.7,30,48,78,0,3,Sleeping
2025-04-03 14:35:00,Kitchen,0,22.5,30,69,73,0,3,Cooking
2025-04-01 14:11:00,Bedroom,0,22.2,40,16,58,1,4,Sleeping
2025-04-06 03:36:00,Living Room,1,21.5,40,9,49,1,2,Watching TV
2025-04-06 12:09:00,Living Room,0,27.6,45,60,82,1,5,Relaxing
2025-04-05 22:45:00,Bedroom,0,26.5,30,100,21,1,2,Reading
2025-04-03 09:36:00,Bedroom,1,26.8,55,16,24,0,3,Idle
2025-04-03 05:59:00,Kitchen,1,22.8,30,80,68,1,3,Cooking
2025-04-03 21:30:00,Bathroom,0,25.9,55,62,43,0,3,Showering
2025-04-02 17:28:00,Kitchen,0,20.1,40,100,84,0,4,Cleaning
2025-04-04 01:40:00,Living Room,1,19.1,45,16,35,0,3,Relaxing
2025-04-05 07:04:00,Living Room,1,21.3,30,68,52,0,2,Relaxing
2025-04-05 14:00:00,Bathroom,1,19.6,45,85,76,1,5,Using Toilet
2025-04-06 09:47:00,Bathroom,0,25.1,50,59,68,1,3,Idle
2025-04-01 12:10:00,Living Room,0,23.6,45,87,91,1,2,Watching TV
2025-04-02 15:10:00,Kitchen,1,27.9,30,27,97,1,2,Cleaning
2025-04-03 07:16:00,Living Room,0,20.0,35,22,37,1,2,Watching TV
2025-04-07 00:12:00,Bathroom,0,27.1,30,45,96,0,1,Showering
2025-04-05 14:22:00,Bedroom,1,25.0,55,5,60,1,3,Idle
2025-04-04 00:04:00,Kitchen,1,23.6,50,86,35,1,5,Cleaning
2025-04-05 17:22:00,Bathroom,0,22.9,35,10,78,0,1,Showering
2025-04-04 10:59:00,Bedroom,0,23.1,40,41,75,1,4,Reading
2025-04-06 08:45:00,Bedroom,1,20.1,35,3,68,0,3,Reading
2025-04-07 21:01:00,Bathroom,1,19.5,35,65,62,1,4,Idle
2025-04-06 03:19:00,Living Room,1,24.9,50,33,73,1,1,Relaxing
2025-04-02 12:05:00,Living Room,0,24.8,35,87,28,1,5,Idle
2025-04-03 12:08:00,Bedroom,1,20.2,50,73,82,1,1,Reading
2025-04-04 02:25:00,Bedroom,0,19.9,50,83,86,1,2,Idle
2025-04-04 08:52:00,Bedroom,0,24.8,50,76,74,1,3,Sleeping
2025-04-06 11:23:00,Bathroom,0,27.8,40,74,68,1,3,Using Toilet
2025-04-05 05:05:00,Kitchen,0,27.3,40,41,25,0,1,Cleaning
2025-04-01 23:04:00,Bedroom,0,27.5,50,18,71,0,1,Sleeping
2025-04-01 10:50:00,Bathroom,1,25.3,60,49,52,0,3,Using Toilet
2025-04-07 14:17:00,Kitchen,0,18.4,45,42,61,1,5,Idle
2025-04-06 15:54:00,Kitchen,1,23.9,35,50,29,1,3,Cooking
2025-04-01 15:16:00,Bathroom,1,21.6,30,96,79,1,3,Idle
2025-04-04 01:03:00,Kitchen,1,19.3,50,72,80,0,4,Cleaning
2025-04-04 12:49:00,Bedroom,1,28.0,40,7,81,1,4,Idle
2025-04-04 17:09:00,Living Room,0,26.6,35,97,90,0,5,Watching TV
2025-04-03 12:39:00,Kitchen,1,23.8,50,68,25,0,5,Idle
2025-04-02 07:45:00,Kitchen,1,24.6,60,71,51,0,1,Idle
2025-04-02 18:23:00,Living Room,1,25.2,50,52,34,0,5,Relaxing
2025-04-02 10:21:00,Bathroom,0,22.2,35,77,64,0,5,Idle
2025-04-02 21:47:00,Bedroom,0,20.7,40,81,46,1,3,Reading
2025-04-03 09:59:00,Bathroom,1,19.3,45,15,85,0,1,Using Toilet
2025-04-06 04:55:00,Living Room,0,19.2,40,74,47,1,3,Idle
2025-04-06 05:33:00,Kitchen,0,22.8,55,16,56,1,5,Idle
2025-04-04 20:09:00,Living Room,1,18.7,50,34,31,0,1,Idle
2025-04-07 20:35:00,Kitchen,1,18.1,45,97,32,0,3,Cooking
2025-04-03 22:47:00,Living Room,0,22.8,40,60,73,0,4,Watching TV
2025-04-05 18:22:00,Living Room,1,22.3,60,37,49,1,4,Watching TV
2025-04-03 18:34:00,Bathroom,0,20.6,60,4,89,0,5,Idle
2025-04-06 21:50:00,Bathroom,1,18.9,50,87,77,0,1,Idle
2025-04-02 02:23:00,Living Room,0,21.6,50,90,81,1,1,Idle
2025-04-01 10:36:00,Living Room,0,22.1,60,24,40,1,1,Relaxing
2025-04-07 00:02:00,Living Room,0,19.5,30,23,20,1,5,Relaxing
2025-04-02 07:33:00,Living Room,0,25.9,30,18,24,0,4,Relaxing
2025-04-02 09:58:00,Bedroom,0,25.6,55,18,80,0,4,Idle
2025-04-04 21:10:00,Bathroom,1,26.9,30,30,94,0,3,Idle
2025-04-04 19:17:00,Living Room,0,18.8,55,32,65,1,3,Idle
2025-04-06 16:17:00,Bedroom,0,20.5,35,71,85,1,5,Sleeping
2025-04-01 15:00:00,Kitchen,1,18.2,60,70,41,1,2,Cooking
2025-04-06 01:20:00,Bathroom,0,26.4,35,45,66,0,4,Using Toilet
2025-04-06 06:27:00,Living Room,0,26.2,50,89,48,1,2,Relaxing
2025-04-04 16:32:00,Bathroom,1,22.7,60,16,77,0,4,Idle
2025-04-02 06:13:00,Bathroom,0,22.9,30,87,57,1,5,Showering
2025-04-05 04:47:00,Living Room,0,18.5,30,44,85,0,2,Relaxing
2025-04-03 08:16:00,Bathroom,1,20.8,50,43,76,0,5,Using Toilet
2025-04-06 01:40:00,Kitchen,1,21.7,55,14,22,1,1,Cooking
2025-04-03 06:07:00,Bedroom,1,21.2,35,21,93,1,2,Idle
2025-04-03 08:05:00,Bedroom,0,26.9,60,7,71,0,5,Reading
2025-04-06 21:35:00,Bathroom,1,21.5,55,91,88,0,3,Idle
2025-04-07 22:27:00,Kitchen,1,24.6,60,73,53,0,4,Cleaning
2025-04-05 08:54:00,Bedroom,0,21.5,55,25,32,0,4,Reading
2025-04-03 05:26:00,Living Room,1,21.1,45,75,79,1,5,Relaxing
2025-04-05 13:18:00,Bedroom,0,27.8,60,32,80,1,5,Reading
2025-04-03 10:50:00,Living Room,1,18.5,55,86,32,1,4,Idle
2025-04-06 10:28:00,Kitchen,1,19.4,55,22,23,1,3,Idle
2025-04-05 16:37:00,Bedroom,1,24.6,40,71,71,0,4,Sleeping
2025-04-01 21:43:00,Kitchen,1,26.5,40,68,36,1,2,Cleaning
2025-04-02 04:45:00,Kitchen,0,24.4,45,18,24,0,5,Cleaning
2025-04-06 22:52:00,Bathroom,1,27.8,60,24,53,0,1,Using Toilet
2025-04-03 11:51:00,Bedroom,0,24.3,30,29,56,0,4,Sleeping
2025-04-03 19:54:00,Bathroom,1,21.7,55,54,37,0,1,Showering
2025-04-03 16:42:00,Bathroom,1,23.6,45,81,26,0,3,Using Toilet
2025-04-05 16:24:00,Bathroom,0,24.3,55,40,37,0,4,Showering
2025-04-06 16:22:00,Bathroom,1,23.1,40,24,96,1,2,Showering
2025-04-01 12:17:00,Kitchen,0,27.2,45,96,44,0,5,Cooking
2025-04-03 17:46:00,Kitchen,1,27.9,50,64,72,1,1,Idle
2025-04-02 21:16:00,Bedroom,1,20.8,40,40,66,0,4,Sleeping
2025-04-04 03:41:00,Bedroom,1,19.9,60,84,80,0,5,Sleeping
2025-04-03 12:11:00,Kitchen,1,25.8,30,41,29,1,2,Idle
2025-04-06 04:34:00,Bedroom,1,20.2,30,14,34,0,3,Reading
2025-04-01 12:20:00,Bedroom,0,24.7,40,36,81,1,2,Sleeping
2025-04-02 07:37:00,Bedroom,1,25.2,55,94,28,1,2,Idle
2025-04-07 14:30:00,Bathroom,1,24.9,55,78,32,1,2,Showering
2025-04-03 05:11:00,Kitchen,0,19.2,30,41,88,0,2,Idle
2025-04-01 19:59:00,Living Room,0,19.7,55,39,59,0,5,Watching TV
2025-04-06 10:56:00,Living Room,1,22.7,40,45,39,1,5,Idle
2025-04-04 15:52:00,Bedroom,0,27.4,60,16,22,1,2,Reading
2025-04-01 23:08:00,Kitchen,0,25.8,50,56,95,0,3,Cleaning
2025-04-01 18:19:00,Bedroom,0,24.2,60,39,96,0,5,Sleeping
2025-04-03 19:20:00,Bathroom,0,19.8,50,30,85,0,3,Showering
2025-04-05 01:24:00,Kitchen,0,26.3,60,90,82,0,2,Cooking
2025-04-07 11:35:00,Bathroom,1,25.8,60,84,57,1,5,Using Toilet
2025-04-01 16:44:00,Kitchen,1,23.1,40,85,22,1,1,Idle
2025-04-08 01:49:00,Bedroom,0,26.0,45,95,39,0,3,Sleeping
2025-04-06 18:00:00,Bathroom,1,19.7,40,35,26,1,2,Idle
2025-04-05 00:04:00,Living Room,1,21.8,30,67,57,0,4,Watching TV
2025-04-04 23:49:00,Kitchen,1,20.8,35,8,94,0,4,Cleaning
2025-04-04 18:14:00,Kitchen,0,27.6,50,82,83,1,3,Cleaning
2025-04-06 05:03:00,Bathroom,0,21.8,50,36,99,1,4,Using Toilet
2025-04-01 14:30:00,Living Room,1,23.2,45,100,50,0,1,Relaxing
2025-04-04 00:32:00,Bedroom,1,21.4,55,38,63,1,5,Reading
2025-04-07 11:26:00,Living Room,0,18.2,55,9,28,0,5,Idle
2025-04-01 18:20:00,Bathroom,0,27.2,35,44,63,1,5,Showering
2025-04-02 08:49:00,Bedroom,0,18.1,40,27,33,0,2,Reading
2025-04-07 03:35:00,Bedroom,0,20.0,30,36,73,0,2,Sleeping
2025-04-01 20:22:00,Kitchen,0,25.6,45,26,35,0,5,Cleaning
2025-04-01 23:13:00,Living Room,1,26.0,35,67,93,1,2,Idle
2025-04-06 21:52:00,Bedroom,1,26.6,55,65,58,1,2,Reading
2025-04-02 05:50:00,Kitchen,0,27.9,40,17,29,0,2,Cleaning
2025-04-02 04:21:00,Bedroom,1,20.8,30,93,74,0,1,Reading
2025-04-03 18:01:00,Bedroom,0,22.9,60,56,32,0,4,Reading
2025-04-08 03:48:00,Bathroom,0,24.6,50,64,58,1,2,Showering
2025-04-03 06:25:00,Bathroom,1,19.8,35,57,57,0,2,Using Toilet
2025-04-08 00:10:00,Kitchen,1,22.7,35,84,31,0,3,Cooking
2025-04-04 21:25:00,Kitchen,0,19.8,45,24,96,1,1,Cooking
2025-04-02 21:55:00,Bedroom,1,27.0,45,59,78,0,1,Sleeping
2025-04-04 07:16:00,Bathroom,1,26.4,50,23,22,0,1,Showering
2025-04-06 13:57:00,Bathroom,1,26.4,60,89,37,0,4,Showering
2025-04-02 02:01:00,Bathroom,1,22.0,40,67,26,1,2,Idle
2025-04-02 00:19:00,Bathroom,0,25.1,55,9,80,1,3,Showering
2025-04-07 16:25:00,Kitchen,1,27.1,45,33,60,1,1,Idle
2025-04-02 12:13:00,Kitchen,0,21.6,30,53,90,1,2,Cooking
2025-04-06 00:58:00,Living Room,0,21.5,55,78,58,0,1,Watching TV
2025-04-04 00:17:00,Bathroom,1,26.0,60,57,46,0,1,Showering
2025-04-03 23:47:00,Bedroom,0,19.7,50,10,68,0,1,Reading
2025-04-02 21:53:00,Bathroom,1,19.8,40,50,91,0,5,Idle
2025-04-07 03:50:00,Kitchen,1,18.9,45,77,21,1,1,Cleaning
2025-04-05 16:26:00,Bedroom,1,27.0,50,13,36,0,3,Reading
2025-04-07 02:19:00,Bedroom,1,23.2,30,5,45,0,5,Idle
2025-04-06 13:22:00,Bathroom,1,26.5,50,77,79,1,1,Showering
2025-04-04 00:39:00,Living Room,0,21.4,30,28,69,0,5,Relaxing
2025-04-04 13:24:00,Kitchen,0,20.0,35,100,43,1,4,Idle
2025-04-04 00:31:00,Bathroom,1,19.9,40,77,22,0,4,Using Toilet
2025-04-07 18:07:00,Kitchen,1,19.8,55,100,80,1,4,Cooking
2025-04-03 14:32:00,Kitchen,0,20.0,30,79,90,0,2,Cooking
2025-04-04 07:32:00,Bathroom,1,23.4,35,37,20,1,3,Showering
2025-04-03 16:10:00,Bathroom,0,18.1,35,97,97,0,4,Idle
2025-04-03 08:44:00,Kitchen,1,25.2,60,62,48,1,1,Idle
2025-04-07 07:45:00,Bedroom,1,24.0,30,74,78,0,5,Sleeping
2025-04-06 06:59:00,Bedroom,0,18.5,40,76,79,1,1,Sleeping
2025-04-01 21:55:00,Kitchen,0,25.4,30,44,52,1,3,Cleaning
2025-04-02 08:07:00,Living Room,0,21.2,45,88,52,0,5,Relaxing
2025-04-01 23:53:00,Bedroom,1,24.2,60,80,50,1,4,Sleeping
2025-04-07 18:46:00,Bedroom,0,26.3,60,64,78,1,4,Reading
2025-04-04 08:29:00,Bedroom,0,23.5,50,1,66,1,2,Reading
2025-04-02 23:10:00,Bathroom,1,19.3,60,3,47,1,4,Showering
2025-04-04 13:52:00,Living Room,1,25.8,45,94,41,1,3,Watching TV
2025-04-07 20:43:00,Kitchen,0,22.4,55,87,53,0,1,Cooking
2025-04-07 03:42:00,Bedroom,0,18.2,35,25,55,1,4,Idle
2025-04-05 22:40:00,Kitchen,1,19.4,60,3,86,1,1,Idle
2025-04-03 06:48:00,Bedroom,1,22.8,45,91,61,1,2,Reading
2025-04-01 19:46:00,Kitchen,1,21.8,45,33,45,1,2,Idle
2025-04-06 04:43:00,Living Room,0,23.6,50,66,27,1,4,Idle
2025-04-04 16:08:00,Kitchen,0,25.1,40,94,71,0,3,Cleaning
2025-04-06 00:20:00,Living Room,1,22.1,30,66,97,1,1,Idle
2025-04-01 11:32:00,Kitchen,0,25.6,45,87,80,1,2,Cleaning
2025-04-05 17:45:00,Kitchen,0,22.0,35,23,59,0,5,Cooking
2025-04-07 01:17:00,Kitchen,1,18.2,30,41,89,1,5,Cleaning
2025-04-04 06:48:00,Living Room,1,19.5,35,36,66,0,1,Relaxing
2025-04-07 15:58:00,Living Room,1,21.0,55,96,58,0,4,Relaxing
2025-04-08 04:05:00,Bedroom,0,25.1,35,83,44,0,4,Sleeping
2025-04-05 16:17:00,Living Room,1,26.8,45,18,61,1,3,Idle
2025-04-01 15:36:00,Bathroom,0,18.9,50,6,80,1,3,Showering
2025-04-05 16:52:00,Kitchen,0,21.5,45,25,20,0,2,Idle
2025-04-03 14:22:00,Bathroom,1,20.1,30,35,75,0,3,Showering
2025-04-08 01:28:00,Living Room,0,26.8,60,25,99,1,2,Relaxing
2025-04-01 20:42:00,Bedroom,0,26.7,50,4,75,0,3,Reading
2025-04-02 00:22:00,Living Room,1,24.4,60,21,37,0,5,Idle
2025-04-02 03:01:00,Kitchen,0,24.8,50,54,31,1,4,Cooking
2025-04-05 12:02:00,Kitchen,1,18.8,30,9,40,0,1,Idle
2025-04-08 03:29:00,Bedroom,1,27.7,40,14,89,0,5,Idle
2025-04-03 11:17:00,Bedroom,0,27.4,45,88,37,1,2,Idle
2025-04-05 06:38:00,Bedroom,1,24.1,60,37,32,0,3,Sleeping
2025-04-01 06:51:00,Bathroom,0,21.9,50,93,82,1,5,Using Toilet
2025-04-03 14:40:00,Kitchen,0,22.8,40,14,52,0,5,Cooking
2025-04-04 22:16:00,Living Room,1,21.4,55,53,94,1,1,Watching TV
2025-04-02 14:34:00,Bathroom,0,19.9,40,63,69,0,2,Idle
2025-04-02 18:57:00,Living Room,0,21.9,35,58,93,1,2,Watching TV
2025-04-01 20:22:00,Kitchen,0,23.3,45,27,93,1,1,Cooking
2025-04-06 11:45:00,Bedroom,0,18.8,55,21,36,1,4,Sleeping
2025-04-05 17:02:00,Bedroom,0,24.7,40,56,42,1,5,Idle
2025-04-05 17:29:00,Bedroom,1,23.0,30,12,41,0,3,Idle
2025-04-04 19:47:00,Bathroom,1,20.5,50,39,30,1,4,Idle
2025-04-06 02:28:00,Kitchen,0,25.9,30,9,24,1,3,Idle
2025-04-04 17:51:00,Living Room,1,26.8,35,73,42,1,2,Relaxing
2025-04-02 01:32:00,Living Room,1,23.5,55,46,28,0,5,Relaxing
2025-04-02 10:46:00,Living Room,1,18.6,45,31,59,1,1,Relaxing
2025-04-03 09:55:00,Bathroom,0,18.2,35,53,93,0,3,Using Toilet
2025-04-07 18:18:00,Bathroom,1,18.4,35,73,73,0,4,Using Toilet
2025-04-01 13:10:00,Kitchen,0,27.3,30,26,41,1,5,Cleaning
2025-04-04 15:26:00,Bedroom,0,24.7,40,56,53,0,5,Sleeping
2025-04-04 05:29:00,Kitchen,1,26.5,55,91,37,0,5,Cleaning
2025-04-07 07:05:00,Bathroom,0,25.7,45,17,71,0,3,Idle
2025-04-02 16:04:00,Kitchen,0,20.6,50,58,30,0,5,Cooking
2025-04-04 18:49:00,Bathroom,1,25.5,30,14,31,0,1,Using Toilet
2025-04-04 12:18:00,Living Room,1,23.1,60,13,33,1,1,Relaxing
2025-04-03 08:45:00,Kitchen,0,19.2,45,27,61,1,3,Cooking
2025-04-04 10:07:00,Bathroom,0,19.3,30,58,61,1,5,Idle
2025-04-02 18:56:00,Kitchen,0,18.8,30,15,80,0,4,Cleaning
2025-04-06 23:26:00,Bedroom,0,18.6,55,32,56,0,5,Idle
2025-04-03 11:37:00,Kitchen,0,20.8,35,65,38,1,2,Idle
2025-04-04 10:05:00,Bathroom,1,27.8,45,86,84,0,1,Idle
2025-04-06 07:30:00,Bathroom,0,21.7,35,50,49,0,1,Idle
2025-04-03 02:37:00,Kitchen,1,22.9,45,26,23,0,4,Idle
2025-04-02 19:39:00,Living Room,1,25.1,50,56,45,1,4,Relaxing
2025-04-07 15:06:00,Kitchen,0,22.3,30,9,82,1,1,Idle
2025-04-04 06:56:00,Bathroom,0,22.1,45,71,95,1,4,Showering
2025-04-04 01:20:00,Bedroom,0,24.8,40,7,34,1,2,Idle
2025-04-01 15:32:00,Bedroom,0,27.0,60,4,48,0,4,Sleeping
2025-04-03 04:50:00,Living Room,0,23.3,60,15,82,1,3,Watching TV
2025-04-01 08:30:00,Bathroom,0,19.9,50,78,49,0,2,Idle
2025-04-06 21:32:00,Bedroom,0,26.3,60,92,35,1,4,Sleeping
2025-04-05 07:57:00,Bathroom,1,24.7,55,36,85,0,1,Using Toilet
2025-04-02 13:35:00,Bathroom,0,23.8,35,49,56,0,1,Showering
2025-04-06 17:13:00,Kitchen,0,24.8,30,28,21,1,4,Cleaning
2025-04-02 20:51:00,Kitchen,1,19.7,40,68,38,0,3,Cleaning
